"","Protein.Gene","Replicate.Name","Protein.Intensity","Condition","Imputed_data","BiolReplicates"
"1","OPTN","HBSS_pooled_PRM3",0.0211840897830018,"HBSS",FALSE,NA
"2","OPTN","HBSS_pooled_PRM2",0.0230663004988681,"HBSS",FALSE,NA
"3","OPTN","HBSS_pooled_PRM1",0.0205481592429019,"HBSS",FALSE,NA
"4","OPTN","20231022_AL_HBSSbaf_pooled_PRM1",0.0322820034696612,"HBSS + ConA",FALSE,NA
"5","OPTN","HBSSbaf_pooled_PRM4",0.0276063810749156,"HBSS + ConA",FALSE,NA
"6","OPTN","HBSSbaf_pooled_PRM3",0.0273233968491754,"HBSS + ConA",FALSE,NA
"7","OPTN","HBSSbaf_pooled_PRM2",0.0271787435093792,"HBSS + ConA",FALSE,NA
"8","ATG2A","HBSS_pooled_PRM3",0.0240398066572502,"HBSS",FALSE,NA
"9","ATG2A","HBSS_pooled_PRM2",0.0243708898224688,"HBSS",FALSE,NA
"10","ATG2A","HBSS_pooled_PRM1",0.0252166387810857,"HBSS",FALSE,NA
"11","ATG2A","20231022_AL_HBSSbaf_pooled_PRM1",0.023233217145187,"HBSS + ConA",FALSE,NA
"12","ATG2A","HBSSbaf_pooled_PRM4",0.0275108020345004,"HBSS + ConA",FALSE,NA
"13","ATG2A","HBSSbaf_pooled_PRM3",0.0267700221101212,"HBSS + ConA",FALSE,NA
"14","ATG2A","HBSSbaf_pooled_PRM2",0.0272618303416675,"HBSS + ConA",FALSE,NA
"15","ATG3","HBSS_pooled_PRM3",0.419960830217972,"HBSS",FALSE,NA
"16","ATG3","HBSS_pooled_PRM2",0.450630126237148,"HBSS",FALSE,NA
"17","ATG3","HBSS_pooled_PRM1",0.432798522017112,"HBSS",FALSE,NA
"18","ATG3","20231022_AL_HBSSbaf_pooled_PRM1",0.425687211761328,"HBSS + ConA",FALSE,NA
"19","ATG3","HBSSbaf_pooled_PRM4",0.447494189759722,"HBSS + ConA",FALSE,NA
"20","ATG3","HBSSbaf_pooled_PRM3",0.433457030480703,"HBSS + ConA",FALSE,NA
"21","ATG3","HBSSbaf_pooled_PRM2",0.439270493466974,"HBSS + ConA",FALSE,NA
"22","ATG7","HBSS_pooled_PRM3",0.083204942834587,"HBSS",FALSE,NA
"23","ATG7","HBSS_pooled_PRM2",0.0890441074832307,"HBSS",FALSE,NA
"24","ATG7","HBSS_pooled_PRM1",0.0868200570353676,"HBSS",FALSE,NA
"25","ATG7","20231022_AL_HBSSbaf_pooled_PRM1",0.0808673988957948,"HBSS + ConA",FALSE,NA
"26","ATG7","HBSSbaf_pooled_PRM4",0.0879628283997191,"HBSS + ConA",FALSE,NA
"27","ATG7","HBSSbaf_pooled_PRM3",0.083269669169283,"HBSS + ConA",FALSE,NA
"28","ATG7","HBSSbaf_pooled_PRM2",0.0812731832536834,"HBSS + ConA",FALSE,NA
"29","ATG9A","HBSS_pooled_PRM3",0.00934816974404532,"HBSS",FALSE,NA
"30","ATG9A","HBSS_pooled_PRM2",0.00896121598818883,"HBSS",FALSE,NA
"31","ATG9A","HBSS_pooled_PRM1",0.00945071343026515,"HBSS",FALSE,NA
"32","ATG9A","20231022_AL_HBSSbaf_pooled_PRM1",0.00983444927766469,"HBSS + ConA",FALSE,NA
"33","ATG9A","HBSSbaf_pooled_PRM4",0.00947686473769701,"HBSS + ConA",FALSE,NA
"34","ATG9A","HBSSbaf_pooled_PRM3",0.00950326673994026,"HBSS + ConA",FALSE,NA
"35","ATG9A","HBSSbaf_pooled_PRM2",0.00890443924023761,"HBSS + ConA",FALSE,NA
"36","BNIP1","HBSS_pooled_PRM3",0.0265787044356144,"HBSS",FALSE,NA
"37","BNIP1","HBSS_pooled_PRM2",0.0405427972210019,"HBSS",FALSE,NA
"38","BNIP1","HBSS_pooled_PRM1",0.032437899353233,"HBSS",FALSE,NA
"39","BNIP1","20231022_AL_HBSSbaf_pooled_PRM1",0.0350099167037068,"HBSS + ConA",FALSE,NA
"40","BNIP1","HBSSbaf_pooled_PRM4",0.030408977509424,"HBSS + ConA",FALSE,NA
"41","BNIP1","HBSSbaf_pooled_PRM3",0.0320627877515952,"HBSS + ConA",FALSE,NA
"42","BNIP1","HBSSbaf_pooled_PRM2",0.0310947833572627,"HBSS + ConA",FALSE,NA
"43","WIPI2","HBSS_pooled_PRM3",0.0909764298162811,"HBSS",FALSE,NA
"44","WIPI2","HBSS_pooled_PRM2",0.0959192503751052,"HBSS",FALSE,NA
"45","WIPI2","HBSS_pooled_PRM1",0.0940683731130114,"HBSS",FALSE,NA
"46","WIPI2","20231022_AL_HBSSbaf_pooled_PRM1",0.0936600488875076,"HBSS + ConA",FALSE,NA
"47","WIPI2","HBSSbaf_pooled_PRM4",0.0958924629630042,"HBSS + ConA",FALSE,NA
"48","WIPI2","HBSSbaf_pooled_PRM3",0.094524332837924,"HBSS + ConA",FALSE,NA
"49","WIPI2","HBSSbaf_pooled_PRM2",0.0959341024416511,"HBSS + ConA",FALSE,NA
"50","NBR1","HBSS_pooled_PRM3",0.313143156468271,"HBSS",TRUE,NA
"51","NBR1","HBSS_pooled_PRM2",0.333253057775633,"HBSS",TRUE,NA
"52","NBR1","HBSS_pooled_PRM1",0.277560595288342,"HBSS",TRUE,NA
"53","NBR1","20231022_AL_HBSSbaf_pooled_PRM1",0.461316824031451,"HBSS + ConA",FALSE,NA
"54","NBR1","HBSSbaf_pooled_PRM4",0.419649161188954,"HBSS + ConA",FALSE,NA
"55","NBR1","HBSSbaf_pooled_PRM3",0.464194804037122,"HBSS + ConA",FALSE,NA
"56","NBR1","HBSSbaf_pooled_PRM2",0.414244500350733,"HBSS + ConA",FALSE,NA
"57","SQSTM1","HBSS_pooled_PRM3",2.99415853165031,"HBSS",FALSE,NA
"58","SQSTM1","HBSS_pooled_PRM2",3.2210075019742,"HBSS",FALSE,NA
"59","SQSTM1","HBSS_pooled_PRM1",2.80599298133619,"HBSS",FALSE,NA
"60","SQSTM1","20231022_AL_HBSSbaf_pooled_PRM1",4.91421379807745,"HBSS + ConA",FALSE,NA
"61","SQSTM1","HBSSbaf_pooled_PRM4",5.48835838339741,"HBSS + ConA",FALSE,NA
"62","SQSTM1","HBSSbaf_pooled_PRM3",5.48779220963399,"HBSS + ConA",FALSE,NA
"63","SQSTM1","HBSSbaf_pooled_PRM2",4.88677966736691,"HBSS + ConA",FALSE,NA
"64","ATG12","HBSS_pooled_PRM3",NA,"HBSS",FALSE,NA
"65","ATG12","HBSS_pooled_PRM2",NA,"HBSS",FALSE,NA
"66","ATG12","HBSS_pooled_PRM1",NA,"HBSS",FALSE,NA
"67","ATG12","20231022_AL_HBSSbaf_pooled_PRM1",NA,"HBSS + ConA",FALSE,NA
"68","ATG12","HBSSbaf_pooled_PRM4",NA,"HBSS + ConA",FALSE,NA
"69","ATG12","HBSSbaf_pooled_PRM3",NA,"HBSS + ConA",FALSE,NA
"70","ATG12","HBSSbaf_pooled_PRM2",NA,"HBSS + ConA",FALSE,NA
"71","CALCOCO2","HBSS_pooled_PRM3",0.0410353437794285,"HBSS",FALSE,NA
"72","CALCOCO2","HBSS_pooled_PRM2",0.0415310735562383,"HBSS",FALSE,NA
"73","CALCOCO2","HBSS_pooled_PRM1",0.0412317311096147,"HBSS",FALSE,NA
"74","CALCOCO2","20231022_AL_HBSSbaf_pooled_PRM1",0.0771269565696785,"HBSS + ConA",FALSE,NA
"75","CALCOCO2","HBSSbaf_pooled_PRM4",0.0850669729818259,"HBSS + ConA",FALSE,NA
"76","CALCOCO2","HBSSbaf_pooled_PRM3",0.0895684945422552,"HBSS + ConA",FALSE,NA
"77","CALCOCO2","HBSSbaf_pooled_PRM2",0.0877874818065704,"HBSS + ConA",FALSE,NA
"78","ATG5","HBSS_pooled_PRM3",0.0209731821502278,"HBSS",FALSE,NA
"79","ATG5","HBSS_pooled_PRM2",0.0220376632005312,"HBSS",FALSE,NA
"80","ATG5","HBSS_pooled_PRM1",0.0216492537917989,"HBSS",FALSE,NA
"81","ATG5","20231022_AL_HBSSbaf_pooled_PRM1",0.0212537601639969,"HBSS + ConA",FALSE,NA
"82","ATG5","HBSSbaf_pooled_PRM4",0.0201526716945577,"HBSS + ConA",FALSE,NA
"83","ATG5","HBSSbaf_pooled_PRM3",0.021154087383102,"HBSS + ConA",FALSE,NA
"84","ATG5","HBSSbaf_pooled_PRM2",0.0200458177067605,"HBSS + ConA",FALSE,NA
"85","ATG4A","HBSS_pooled_PRM3",0.0144917351026916,"HBSS",FALSE,NA
"86","ATG4A","HBSS_pooled_PRM2",0.0148531268850851,"HBSS",FALSE,NA
"87","ATG4A","HBSS_pooled_PRM1",0.013942204081791,"HBSS",FALSE,NA
"88","ATG4A","20231022_AL_HBSSbaf_pooled_PRM1",0.0147115348969705,"HBSS + ConA",FALSE,NA
"89","ATG4A","HBSSbaf_pooled_PRM4",0.0155820489114955,"HBSS + ConA",FALSE,NA
"90","ATG4A","HBSSbaf_pooled_PRM3",0.0134125016629315,"HBSS + ConA",FALSE,NA
"91","ATG4A","HBSSbaf_pooled_PRM2",0.0148672229912847,"HBSS + ConA",FALSE,NA
"92","RPS6KB1","HBSS_pooled_PRM3",0.127928025664417,"HBSS",FALSE,NA
"93","RPS6KB1","HBSS_pooled_PRM2",0.141422140247967,"HBSS",FALSE,NA
"94","RPS6KB1","HBSS_pooled_PRM1",0.13989045082707,"HBSS",FALSE,NA
"95","RPS6KB1","20231022_AL_HBSSbaf_pooled_PRM1",0.129184999162062,"HBSS + ConA",FALSE,NA
"96","RPS6KB1","HBSSbaf_pooled_PRM4",0.140501415543696,"HBSS + ConA",FALSE,NA
"97","RPS6KB1","HBSSbaf_pooled_PRM3",0.138457269053266,"HBSS + ConA",FALSE,NA
"98","RPS6KB1","HBSSbaf_pooled_PRM2",0.130640929805813,"HBSS + ConA",FALSE,NA
"99","ULK1","HBSS_pooled_PRM3",0.0454884428911847,"HBSS",FALSE,NA
"100","ULK1","HBSS_pooled_PRM2",0.0453258417922892,"HBSS",FALSE,NA
"101","ULK1","HBSS_pooled_PRM1",0.0457143809602078,"HBSS",FALSE,NA
"102","ULK1","20231022_AL_HBSSbaf_pooled_PRM1",0.044928861962693,"HBSS + ConA",FALSE,NA
"103","ULK1","HBSSbaf_pooled_PRM4",0.0474305095289755,"HBSS + ConA",FALSE,NA
"104","ULK1","HBSSbaf_pooled_PRM3",0.04728902472642,"HBSS + ConA",FALSE,NA
"105","ULK1","HBSSbaf_pooled_PRM2",0.0499483819742335,"HBSS + ConA",FALSE,NA
"106","RB1CC1","HBSS_pooled_PRM3",0.00446155386349012,"HBSS",FALSE,NA
"107","RB1CC1","HBSS_pooled_PRM2",0.00446599400504716,"HBSS",FALSE,NA
"108","RB1CC1","HBSS_pooled_PRM1",0.00428127148276285,"HBSS",FALSE,NA
"109","RB1CC1","20231022_AL_HBSSbaf_pooled_PRM1",0.00463063417342622,"HBSS + ConA",FALSE,NA
"110","RB1CC1","HBSSbaf_pooled_PRM4",0.00456266453110235,"HBSS + ConA",FALSE,NA
"111","RB1CC1","HBSSbaf_pooled_PRM3",0.00438864206289622,"HBSS + ConA",FALSE,NA
"112","RB1CC1","HBSSbaf_pooled_PRM2",0.00442941220038768,"HBSS + ConA",FALSE,NA
