"","Protein","cv","method"
"1","ATG3",0.0802104648919069,"DIA - Spectronaut"
"2","ATG7",0.0858394943109626,"DIA - Spectronaut"
"3","ATG9A",0.125794680909891,"DIA - Spectronaut"
"4","BNIP1",0.0379852047441564,"DIA - Spectronaut"
"5","CALCOCO2",0.324204325295905,"DIA - Spectronaut"
"6","FKBP8",0.0345880193404097,"DIA - Spectronaut"
"7","GABARAPL2",0.0938591908741793,"DIA - Spectronaut"
"8","NUFIP1",0.304383238825516,"DIA - Spectronaut"
"9","OPTN",0.320585695448907,"DIA - Spectronaut"
"10","PHB2",0.0273074079741155,"DIA - Spectronaut"
"11","RTN3",0.0426960430979002,"DIA - Spectronaut"
"12","SQSTM1",0.046155048560225,"DIA - Spectronaut"
"13","STBD1",0.17201108224233,"DIA - Spectronaut"
"14","TAX1BP1",0.181830243898513,"DIA - Spectronaut"
"15","TOLLIP",0.0984714890276733,"DIA - Spectronaut"
"16","WBP2",0.111250626369229,"DIA - Spectronaut"
"17","WIPI2",0.127460277162567,"DIA - Spectronaut"
"18","ATG3",0.0437012393415811,"DIA - Spectronaut 
 Normalized"
"19","ATG7",0.0586208792934374,"DIA - Spectronaut 
 Normalized"
"20","ATG9A",0.123852387622231,"DIA - Spectronaut 
 Normalized"
"21","BNIP1",0.0277392144885831,"DIA - Spectronaut 
 Normalized"
"22","CALCOCO2",0.30469480236208,"DIA - Spectronaut 
 Normalized"
"23","FKBP8",0.0230248441457716,"DIA - Spectronaut 
 Normalized"
"24","GABARAPL2",0.124001489582604,"DIA - Spectronaut 
 Normalized"
"25","NUFIP1",0.276174468585009,"DIA - Spectronaut 
 Normalized"
"26","OPTN",0.301020393840875,"DIA - Spectronaut 
 Normalized"
"27","PHB2",0.00697994985332015,"DIA - Spectronaut 
 Normalized"
"28","RTN3",0.0401563631193706,"DIA - Spectronaut 
 Normalized"
"29","SQSTM1",0.0283687007844434,"DIA - Spectronaut 
 Normalized"
"30","STBD1",0.143756112711117,"DIA - Spectronaut 
 Normalized"
"31","TAX1BP1",0.182256730217456,"DIA - Spectronaut 
 Normalized"
"32","TOLLIP",0.0820217977127867,"DIA - Spectronaut 
 Normalized"
"33","WBP2",0.10986233210704,"DIA - Spectronaut 
 Normalized"
"34","WIPI2",0.112591796134322,"DIA - Spectronaut 
 Normalized"
"35","ATG2A",0.478483023490537,"DDA"
"36","ATG3",0.0552881002875052,"DDA"
"37","ATG5",NA,"DDA"
"38","BNIP1",0.330000871657495,"DDA"
"39","CALCOCO2",NA,"DDA"
"40","CCPG1",NA,"DDA"
"41","FKBP8",0.0770634227101713,"DDA"
"42","OPTN",0.509814744440143,"DDA"
"43","PHB2",0.0156314805511604,"DDA"
"44","RTN3",0.0246859347641772,"DDA"
"45","SQSTM1",0.032445208173638,"DDA"
"46","WBP2",0.210802736349541,"DDA"
"47","ATG2A",NA,"DDA 
 MaxLFQ"
"48","ATG3",0.0559959581423032,"DDA 
 MaxLFQ"
"49","ATG5",NA,"DDA 
 MaxLFQ"
"50","BNIP1",0.02721248203317,"DDA 
 MaxLFQ"
"51","CALCOCO2",NA,"DDA 
 MaxLFQ"
"52","CCPG1",NA,"DDA 
 MaxLFQ"
"53","FKBP8",0.0164695197322414,"DDA 
 MaxLFQ"
"54","OPTN",NA,"DDA 
 MaxLFQ"
"55","PHB2",0.0182843119139701,"DDA 
 MaxLFQ"
"56","RTN3",0.00915725450940555,"DDA 
 MaxLFQ"
"57","SQSTM1",0.0258865886925805,"DDA 
 MaxLFQ"
"58","WBP2",0.4448940851507,"DDA 
 MaxLFQ"
"59","AMBRA1",0.066617338752649,"PRM"
"60","ATG13",0.0400248231827145,"PRM"
"61","ATG2A",0.0192983284759179,"PRM"
"62","ATG3",0.025739032462721,"PRM"
"63","ATG4A",0.0537043695983712,"PRM"
"64","ATG5",0.0274432871078249,"PRM"
"65","ATG7",0.0374642406574627,"PRM"
"66","ATG9A",0.0321510704191999,"PRM"
"67","BNIP1",0.118967244017025,"PRM"
"68","BNIP3",0.0955222854487477,"PRM"
"69","BNIP3L",0.0979609756743654,"PRM"
"70","CALCOCO2",0.015983095196677,"PRM"
"71","FKBP8",0.0520368967069075,"PRM"
"72","GABARAPL2",0.0333390486795209,"PRM"
"73","NBR1",0.0762713957163786,"PRM"
"74","NUFIP1",0.0483630860294491,"PRM"
"75","OPTN",0.03428600952559,"PRM"
"76","PHB2",0.0290594405317786,"PRM"
"77","PNPLA2",0.08627433583545,"PRM"
"78","RB1CC1",0.0221711885183789,"PRM"
"79","RPS6KB1",0.0461395492810821,"PRM"
"80","RTN3",0.0326340179589522,"PRM"
"81","SQSTM1",0.0673806694455351,"PRM"
"82","STBD1",0.0407471068856559,"PRM"
"83","TAX1BP1",0.0348823344998423,"PRM"
"84","TNIP1",0.0768716275268648,"PRM"
"85","TOLLIP",0.0262421689246681,"PRM"
"86","ULK1",0.0176573869067804,"PRM"
"87","WBP2",0.0505509989659167,"PRM"
"88","WDFY3",0.0655607165408537,"PRM"
"89","WIPI2",0.0175342704104494,"PRM"
