PG.ProteinGroups,PG.Genes,[1] 20231022_AL_HBSS_pooled_DIA1.raw.PG.Quantity,[2] 20231022_AL_HBSS_pooled_DIA2.raw.PG.Quantity,[3] 20231022_AL_HBSS_pooled_DIA3.raw.PG.Quantity,[4] 20231022_AL_HBSSbaf_pooled_DIAbaf1.raw.PG.Quantity,[5] 20231022_AL_HBSSbaf_pooled_DIAbaf2.raw.PG.Quantity,[6] 20231022_AL_HBSSbaf_pooled_DIAbaf3.raw.PG.Quantity
A0A087WUM0,SYNJ2BP-COX16,65687.0078125,65371.828125,69432.8984375,63110.6875,66534.84375,66596.21875
A0A088AWK7,,89347.0234375,114276.2421875,94402.359375,165115.125,162566.4375,180215.921875
A0A096LP75;C4AMC7;Q6VEQ5;Q9NQA3,LOC102723897;WASH3P;WASH2P;WASH6P,15417.443359375,15903.3603515625,15819.7177734375,17866.076171875,19517.681640625,19226.74609375
A0A096LPI6,,136414.484375,127312.046875,133075.8125,140460.9375,141332.53125,158233.828125
A0A0A6YYC7;Q96JP5,ZFP91-CNTF;ZFP91,26310.03515625,22447.150390625,27357.740234375,29125.037109375,29298.41015625,28096.4296875
A0A0A6YYH1;Q7Z6K5,C15orf38-AP3S2;ARPIN,14464.3154296875,27726.2890625,37097.453125,15447.236328125,37710.625,38609.80859375
A0A0A6YYL6;P18621,RPL17-C18orf32;RPL17,789831,757615.9375,740286.6875,758051.875,755365,777920.3125
A0A0B4J1R7;Q96B45,BORCS7-ASMT;C10orf32,19477.3671875,16537.146484375,18137.84375,17307.060546875,19730.830078125,16958.384765625
A0A0B4J1V8;Q9NQ55,PPAN-P2RY11;PPAN,59724.609375,53716.80859375,55801.609375,55510.58984375,58521.65234375,56455.1171875
A0A0B4J1Z7;A0A0U1RVJ5,IGKV1-39;IGKV1D-39,3726.34375,4375.013671875,4662.48193359375,5516.5087890625,6691.21923828125,4214.20703125
A0A0B4J269,,28858.1328125,23904.794921875,21082.69921875,19161.59375,22570.841796875,29083.396484375
