PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,PG.ProteinNames,PG.Database,PG.CV,[1] 20231022_AL_HBSS_pooled_DIA1.raw.PG.Quantity,[2] 20231022_AL_HBSS_pooled_DIA2.raw.PG.Quantity,[3] 20231022_AL_HBSS_pooled_DIA3.raw.PG.Quantity,[4] 20231022_AL_HBSSbaf_pooled_DIAbaf1.raw.PG.Quantity,[5] 20231022_AL_HBSSbaf_pooled_DIAbaf2.raw.PG.Quantity,[6] 20231022_AL_HBSSbaf_pooled_DIAbaf3.raw.PG.Quantity,[1] 20231022_AL_HBSS_pooled_DIA1.raw.PG.Log2Quantity,[2] 20231022_AL_HBSS_pooled_DIA2.raw.PG.Log2Quantity,[3] 20231022_AL_HBSS_pooled_DIA3.raw.PG.Log2Quantity,[4] 20231022_AL_HBSSbaf_pooled_DIAbaf1.raw.PG.Log2Quantity,[5] 20231022_AL_HBSSbaf_pooled_DIAbaf2.raw.PG.Log2Quantity,[6] 20231022_AL_HBSSbaf_pooled_DIAbaf3.raw.PG.Log2Quantity
A0A087WUM0,A0A087WUM0,SYNJ2BP-COX16,Homo sapiens,Protein SYNJ2BP-COX16 (Fragment),A0A087WUM0_HUMAN,tr,0.069934783,66802.76563,74219.00781,71096.60938,62660.28516,64537.04297,62984.96094,16.02762021,16.17950109,16.11749314,15.93526371,15.97783986,15.94271977
A0A088AWK7,A0A088AWK7,,Homo sapiens,Uncharacterized protein,A0A088AWK7_HUMAN,tr,0.262451777,86761.80469,125544.6172,97145.82031,155973.3438,157150.3438,170903.3125,16.40477244,16.93784065,16.5678643,17.25093996,17.2617859,17.38282083
A0A096LP75;C4AMC7;Q6VEQ5;Q9NQA3,A0A096LP75;C4AMC7;Q6VEQ5;Q9NQA3,LOC102723897;WASH3P;WASH2P;WASH6P,Homo sapiens,Protein LOC102723897;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 6,A0A096LP75_HUMAN;WASH3_HUMAN;WASH2_HUMAN;WASH6_HUMAN,tr;sp;sp;sp,0.069554074,15320.24023,16858.93945,15146.91602,17210.19727,17439.01563,17954.73438,13.9031513,14.04122616,13.88673646,14.07097601,14.09003099,14.13207669
A0A096LPI6,A0A096LPI6,,Homo sapiens,Uncharacterized protein (Fragment),A0A096LPI6_HUMAN,tr,0.02710553,137299.6875,137707.8438,135904.1875,134070.0156,134677.75,144362.0781,17.06696882,17.07125121,17.05223038,17.03262709,17.039152,17.13933229
A0A0A6YYC7;Q96JP5,A0A0A6YYC7;Q96JP5,ZFP91-CNTF;ZFP91,Homo sapiens,"HCG2042749, isoform CRA_d;E3 ubiquitin-protein ligase ZFP91",A0A0A6YYC7_HUMAN;ZFP91_HUMAN,tr;sp,0.057479174,26387.88672,25209.36133,28859.35742,28097.97852,28515.12109,25691.18164,14.6875882,14.62167195,14.81675156,14.77817872,14.79943954,14.64898563
A0A0A6YYH1;Q7Z6K5,A0A0A6YYH1;Q7Z6K5,C15orf38-AP3S2;ARPIN,Homo sapiens,Protein C15orf38-AP3S2;Arpin,A0A0A6YYH1_HUMAN;ARPIN_HUMAN,tr;sp,0.383955638,14299.99805,32329.35938,38716.08984,14765.86621,35094.25,34709.37891,13.80372733,14.9805573,15.24064563,13.84997837,15.09894705,15.08303793
A0A0A6YYL6;P18621,A0A0A6YYL6;P18621,RPL17-C18orf32;RPL17,Homo sapiens,Protein RPL17-C18orf32;60S ribosomal protein L17,A0A0A6YYL6_HUMAN;RL17_HUMAN,tr;sp,0.055026104,777137.25,807584.625,744477.6875,743230.6875,693458.125,715690.4375,19.56780989,19.62325392,19.50586909,19.50345055,19.40344924,19.44897618
A0A0B4J1R7;Q96B45,A0A0B4J1R7;Q96B45,BORCS7-ASMT;C10orf32,Homo sapiens,Protein BORCS7-ASMT;UPF0693 protein C10orf32,A0A0B4J1R7_HUMAN;CJ032_HUMAN,tr;sp,0.07505549,17880.43359,17038.53516,17561.95313,15372.62695,17842.67188,15063.8125,14.1260941,14.05651369,14.10016568,13.9080761,14.12304405,13.87879933
A0A0B4J1V8;Q9NQ55,A0A0B4J1V8;Q9NQ55,PPAN-P2RY11;PPAN,Homo sapiens,HCG2039996;Suppressor of SWI4 1 homolog,A0A0B4J1V8_HUMAN;SSF1_HUMAN,tr;sp,0.042392828,57642.17578,57056.32031,56161.13281,52576.61719,52996.5,52830.53516,15.81483717,15.80009909,15.77728442,15.6821337,15.69360946,15.6890844
A0A0B4J1Z7;A0A0U1RVJ5,A0A0B4J1Z7;A0A0U1RVJ5,IGKV1-39;IGKV1D-39,Homo sapiens,Protein IGKV1-39 (Fragment);Protein IGKV1D-39 (Fragment),A0A0B4J1Z7_HUMAN;A0A0U1RVJ5_HUMAN,tr,0.205290536,3673.348877,4717.018066,4659.856934,5695.744141,6259.19873,3968.554199,11.84288021,12.20365941,12.18606995,12.47566862,12.61176227,11.95439779
