Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,HBSS_1 Spectral Count,HBSS_2 Spectral Count,HBSS_3 Spectral Count,HBSS_BafA1_1 Spectral Count,HBSS_BafA1_2 Spectral Count,HBSS_BafA1_3 Spectral Count,HBSS_1 Unique Spectral Count,HBSS_2 Unique Spectral Count,HBSS_3 Unique Spectral Count,HBSS_BafA1_1 Unique Spectral Count,HBSS_BafA1_2 Unique Spectral Count,HBSS_BafA1_3 Unique Spectral Count,HBSS_1 Total Spectral Count,HBSS_2 Total Spectral Count,HBSS_3 Total Spectral Count,HBSS_BafA1_1 Total Spectral Count,HBSS_BafA1_2 Total Spectral Count,HBSS_BafA1_3 Total Spectral Count,HBSS_1 Intensity,HBSS_2 Intensity,HBSS_3 Intensity,HBSS_BafA1_1 Intensity,HBSS_BafA1_2 Intensity,HBSS_BafA1_3 Intensity,HBSS_1 MaxLFQ Intensity,HBSS_2 MaxLFQ Intensity,HBSS_3 MaxLFQ Intensity,HBSS_BafA1_1 MaxLFQ Intensity,HBSS_BafA1_2 MaxLFQ Intensity,HBSS_BafA1_3 MaxLFQ Intensity,Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN,A0A0B4J2D5,GAL3B_HUMAN,GATD3B,268,Homo sapiens OX=9606,5:Protein uncertain,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",1,0.999,6,21,0,21,3,3,3,4,3,5,0,0,0,0,0,0,3,3,3,4,3,5,1.65E+08,1.62E+08,1.64E+08,1.63E+08,1.71E+08,1.72E+08,7.06E+07,6.97E+07,7.16E+07,6.96E+07,7.30E+07,7.27E+07,sp|P0DPI2|GAL3A_HUMAN
sp|A0AV96|RBM47_HUMAN,A0AV96,RBM47_HUMAN,RBM47,593,Homo sapiens OX=9606,1:Experimental evidence at protein level,RNA-binding protein 47,1,0.999,8,35,30,35,5,5,8,5,6,6,5,4,7,4,5,5,5,5,8,5,6,6,1.09E+08,1.25E+08,1.22E+08,1.14E+08,9.74E+07,1.14E+08,4.89E+07,5.09E+07,4.83E+07,5.08E+07,4.26E+07,4.88E+07,
sp|A0AVF1|IFT56_HUMAN,A0AVF1,IFT56_HUMAN,TTC26,554,Homo sapiens OX=9606,2:Experimental evidence at transcript level,Intraflagellar transport protein 56,0.98,0.999,1,4,4,4,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,2252231,1880454.9,2279156.5,2046907.4,0,0,0,0,0,0,
sp|A0AVT1|UBA6_HUMAN,A0AVT1,UBA6_HUMAN,UBA6,1052,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin-like modifier-activating enzyme 6,0.9801,0.999,1,4,4,4,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,5175129.5,5689492.5,5585052.5,5728659,6138552,5854033,0,0,0,0,0,0,
sp|A0FGR8|ESYT2_HUMAN,A0FGR8,ESYT2_HUMAN,ESYT2,921,Homo sapiens OX=9606,1:Experimental evidence at protein level,Extended synaptotagmin-2,1,0.999,16,69,69,69,8,12,10,14,14,11,8,12,10,14,14,11,8,12,10,14,14,11,4.33E+08,5.80E+08,3.87E+08,4.48E+08,4.47E+08,5.39E+08,6.87E+07,7.25E+07,6.97E+07,7.03E+07,6.98E+07,7.16E+07,
sp|A0JNW5|UH1BL_HUMAN,A0JNW5,UH1BL_HUMAN,UHRF1BP1L,1464,Homo sapiens OX=9606,1:Experimental evidence at protein level,UHRF1-binding protein 1-like,0.6992,0.9792,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3069625,2693317.8,0,0,0,0,0,0,0,0,0,0,
sp|A0MZ66|SHOT1_HUMAN,A0MZ66,SHOT1_HUMAN,SHTN1,631,Homo sapiens OX=9606,1:Experimental evidence at protein level,Shootin-1,1,0.999,10,28,28,28,5,5,4,5,6,3,5,5,4,5,6,3,5,5,4,5,6,3,2.25E+08,2.31E+08,1.94E+08,2.42E+08,1.96E+08,1.59E+08,5.26E+07,5.34E+07,5.09E+07,5.34E+07,5.03E+07,4.71E+07,
sp|A1L0T0|HACL2_HUMAN,A1L0T0,HACL2_HUMAN,ILVBL,632,Homo sapiens OX=9606,1:Experimental evidence at protein level,2-hydroxyacyl-CoA lyase 2,1,0.999,10,39,39,39,5,7,8,5,6,8,5,7,8,5,6,8,5,7,8,5,6,8,2.32E+08,1.85E+08,1.74E+08,2.17E+08,2.26E+08,2.11E+08,6.17E+07,6.08E+07,5.97E+07,5.80E+07,6.39E+07,5.75E+07,
sp|A2RRP1|NBAS_HUMAN,A2RRP1,NBAS_HUMAN,NBAS,2371,Homo sapiens OX=9606,1:Experimental evidence at protein level,Neuroblastoma-amplified sequence,1,0.999,6,14,14,14,1,2,3,2,5,1,1,2,3,2,5,1,1,2,3,2,5,1,1.98E+07,3.02E+07,3.02E+07,4.42E+07,4.75E+07,3.01E+07,1.71E+07,1.64E+07,1.68E+07,1.88E+07,1.76E+07,1.60E+07,
sp|A3KMH1|VWA8_HUMAN,A3KMH1,VWA8_HUMAN,VWA8,1905,Homo sapiens OX=9606,1:Experimental evidence at protein level,von Willebrand factor A domain-containing protein 8,1,0.999,3,13,13,13,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1.02E+07,1.06E+07,1.03E+07,7023430,7639401,7464872.5,5155510.5,5168554,5067787,4626755.5,5077676,4880203.5,
